varName,varType,n,beta,lower,upper,pvalue
20084#472,CAT-MUL,13913/2374(16287),-0.05033421517936,-0.0949300858843918,-0.00616122533845855,0.0262197578132851
20084#469,CAT-MUL,15778/509(16287),-0.0310287348693325,-0.121403088897197,0.0571603068809922,0.495639520354784
20084#486,CAT-MUL,16012/275(16287),-0.0586347526953061,-0.182598398296565,0.0611009304816934,0.34534344662626
20084#468,CAT-MUL,15190/1097(16287),-0.00857943582050516,-0.0706637071151671,0.0525629313820214,0.784880981528884
20084#473,CAT-MUL,14904/1383(16287),0.0073969620772128,-0.0480827381971757,0.062173803959916,0.792534586152087
20084#471,CAT-MUL,15384/903(16287),-0.0202078815310002,-0.0884723865549017,0.0468748428480351,0.558281153015082
20084#485,CAT-MUL,15780/507(16287),-0.0280330365450306,-0.118714826929395,0.0605080704780771,0.539658116661517
20084#479,CAT-MUL,15967/320(16287),-0.0519735549237957,-0.166737580962474,0.0592184780676987,0.367028261630908
20084#474,CAT-MUL,15477/810(16287),-0.0573635452296096,-0.131055864875836,0.0149791341914633,0.12352829323025
20084#476,CAT-MUL,15941/346(16287),-0.090234319375759,-0.202711232576338,0.0187438473032226,0.110073968979176
20084#488,CAT-MUL,15757/530(16287),0.00196701533954742,-0.0857905889215169,0.0877307416807271,0.964545930899694
20084#478,CAT-MUL,15405/882(16287),-0.0105983594658894,-0.0794496542805675,0.0570601219208074,0.760817066908495
20084#487,CAT-MUL,15871/416(16287),-0.0344798047602959,-0.13468541893184,0.0630276391767984,0.494058455886801
20084#470,CAT-MUL,16226/61(16287),-0.0709927384057798,-0.339793313278165,0.178022930341391,0.590191649924056
20084#477,CAT-MUL,15973/314(16287),-0.0982709184072711,-0.216885810413796,0.0164441036042933,0.0986072467277414
20084#475,CAT-MUL,16203/84(16287),-0.179983571086866,-0.420958763525517,0.0451144004887558,0.129573247140688
20084#481,CAT-MUL,16124/163(16287),0.0256296439229797,-0.131041379399186,0.175778749010512,0.743118723480717
20084#484,CAT-MUL,16143/144(16287),-0.210455318202541,-0.395031523242096,-0.0354603255638139,0.0216693739813906
20084#483,CAT-MUL,16088/199(16287),0.0195224543682442,-0.122226000910203,0.155932720390145,0.783062796220156
20084#480,CAT-MUL,16080/207(16287),-0.156193577606485,-0.305555315482174,-0.0130874809709299,0.0361884398749677
20084#482,CAT-MUL,16231/56(16287),-0.264971059553821,-0.573113603553113,0.0176103498925881,0.0782473639740864
20085#5,CAT-MUL,14985/1302(16287),-0.0172128913252351,-0.0747290011698807,0.0395112297916958,0.554714446827654
20085#6,CAT-MUL,14246/2041(16287),0.00239130596274959,-0.0443066403671582,0.0486304857619008,0.919650384363987
20085#3,CAT-MUL,16175/112(16287),0.11631677884537,-0.0652498560585436,0.289590851389764,0.198238406870943
20085#4,CAT-MUL,16259/28(16287),0.342969582205563,0.00305440241567668,0.65939897831206,0.0395504680260313
20086#10,CAT-MUL,14472/1815(16287),-0.0314042374122358,-0.0814866738774309,0.0181291393524846,0.216485440833873
20086#9,CAT-MUL,16066/221(16287),0.0139151041768569,-0.12117014830374,0.144141284084998,0.837004104435452
20086#11,CAT-MUL,15555/732(16287),-0.0798053302132462,-0.157409380160862,-0.00381293551421122,0.041635636232685
20086#13,CAT-MUL,15726/561(16287),0.0423077580573834,-0.0414769110213964,0.124326931468912,0.317057433226969
20086#8,CAT-MUL,15974/313(16287),-0.017024752127058,-0.131614512806372,0.0940404447978204,0.767321226094151
20086#12,CAT-MUL,16240/47(16287),0.126603523460085,-0.156411805492973,0.389815401660157,0.362175269514654
