varName,varType,n,beta,lower,upper,pvalue
20149,INTEGER,27706,0.00978235895650979,-0.00188478440554449,0.0214495023185641,0.100309321686923
20150,CONTINUOUS,87030,0.00430924396461727,-0.000677961898841278,0.00929644982807583,0.0903544828307707
20151,CONTINUOUS,87030,0.00349844213547887,-0.00133758581923349,0.00833447009019124,0.156228861117833
20153,CONTINUOUS,38147,-0.0025148864466898,-0.00815017142159372,0.00312039852821413,0.381736917802586
20154,CONTINUOUS,38147,0.00831817645023765,-0.00167820082985161,0.0183145537303269,0.102903804029633
20155,INTEGER,26737,0.0103717376980191,-0.00149602530926918,0.0222395007053074,0.0867291760401447
20156,CONTINUOUS,25769,0.0106065932658433,-0.00148718673802554,0.0227003732697121,0.0856217211854681
20157,CONTINUOUS,25769,0.0108663237028425,-0.00121789227094872,0.0229505396766337,0.0779942937292195
20159,INTEGER,28325,-0.011231387605478,-0.02265919611566,0.000196420904704099,0.054069621448654
20161,CONTINUOUS,28594,-0.00149666742852349,-0.0128459222549789,0.0098525873979319,0.796039492382527
