name,countValue
binary.500,3
catSin.case1,3
catSin.case2,4
catSin.case3,9
catSin.onevalue,2
cont.main,16
int.catord,2
int.continuous,12
ordCat,5
ordCat.500,3
start.catSin,18
start.cont,4
start.exposure.int,2
start.int,14
success.binary,6
success.continuous,16
success.exposure.continuous,2
success.ordCat,2
success.unordCat,4
