varName,varType,n,beta,lower,upper,pvalue
42001-1,CAT-SIN,1069/1418,-999,-999,-999,0.000629714514454042
42001-1#0,CAT-SIN,1069#313,-0.233441617930866,-0.364580533859015,-0.102302702002717,0.000484921251374226
42001-1#2,CAT-SIN,1069#36,-0.299697611492284,-0.662535264026612,0.0631400410420447,0.105469582101484
42007-1,CAT-SIN,661/1154,-999,-999,-999,0.566397937893007
42007-1#0,CAT-SIN,661#478,-0.0327439026691629,-0.153720329680981,0.0882325243426553,0.595771752497455
42007-1#2,CAT-SIN,661#15,-0.268840002344176,-0.82718998122839,0.289509976540038,0.345321283017746
90002-1,CAT-SIN,1106/1238,-999,-999,-999,0.553639438215387
90002-1#3,CAT-SIN,1106#51,0.148093352377829,-0.123434474422991,0.419621179178649,0.285078979062036
90002-1#2,CAT-SIN,1106#81,0.039683571514515,-0.190762567423976,0.270129710453005,0.735730857388887
