name,countValue
catSin.case2,4
catSin.case3,2
cont.main,8
cont.ordcattry,1
cont.ordcattry.ordcat,1
excluded.catSin,3
excluded.int,1
int.catord,1
int.continuous,3
notinphenofile,1
ordCat,2
start.catSin,6
start.cont,6
start.exposure.catSin,1
start.exposure.cont,3
start.int,4
success.binary,2
success.continuous,8
success.exposure.continuous,3
success.exposure.unordCat,1
success.ordCat,2
success.unordCat,4
