varName,varType,n,beta,lower,upper,pvalue
4292-3,CAT-SIN,88436/110529,-999,-999,-999,0.984266699479146
4292-3#0,CAT-SIN,88436#21823,0.000870263987042958,-0.0140549953812084,0.0157955233552943,0.909014379427132
4292-3#2,CAT-SIN,88436#41,-0.00536723182347583,-0.310027038525494,0.299292574878542,0.972455363004218
4292-3#1,CAT-SIN,88436#229,0.0248522530613199,-0.104851724312992,0.154556230435632,0.707256098965579
4293-3,CAT-SIN,106277/110420,-999,-999,-999,0.619558982312481
4293-3#2,CAT-SIN,106277#1753,0.00299165714108899,-0.0441823274343418,0.0501656417165197,0.901080869572054
4293-3#1,CAT-SIN,106277#2390,0.0190338707838923,-0.0215743555473556,0.0596420971151403,0.358266377177945
4294-1,CAT-SIN,106277/110544,-999,-999,-999,0.353827962987939
4294-1#0,CAT-SIN,106277#4143,0.0120666575343975,-0.0190477229820583,0.0431810380508533,0.447191478808677
4294-1#9,CAT-SIN,106277#124,-0.108163871287721,-0.281378082421926,0.0650503398464838,0.220989040672393
