name,countValue
catSin.case1,6
catSin.case2,1
catSin.case3,7
cont.main,9
cont.ordcattry,1
cont.ordcattry.ordcat,1
int.continuous,6
ordCat,7
start.catSin,14
start.cont,4
start.exposure.cont,1
start.int,6
success.binary,7
success.continuous,9
success.exposure.continuous,1
success.ordCat,7
success.unordCat,1
