25245_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3033, 3036, 3036 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25246_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3049, 3021, 3035 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25247_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3030, 3034, 3041 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25248_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 2968, 3092, 3045 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25249_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3026, 3048, 3031 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25250_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3029, 2993, 3083 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25251_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3015, 3008, 3082 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25252_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3021, 3048, 3036 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25253_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 1451, 4617, 3037 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25254_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3014, 3052, 3039 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25255_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 2998, 3073, 3034 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25256_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3033, 3026, 3046 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25257_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3011, 3049, 3045 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25258_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 2984, 3078, 3043 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25259_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 2996, 3072, 3037 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25260_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25261_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3010, 3033, 3062 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25262_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3029, 2971, 3105 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25263_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3013, 2995, 3097 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25264_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3007, 3054, 3044 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25265_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3032, 3036, 3037 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25266_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3028, 2986, 3091 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25267_2|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 3034, 2970, 3101 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
