varName,varType,n,beta,lower,upper,pvalue
40006#C504,CAT-MUL,332531/2437(334968),0.00964694226155944,-0.0304097154421965,0.049816588275869,0.637386789967178
40006#C833,CAT-MUL,334503/465(334968),0.0138386002206579,-0.0770665394763356,0.105347186575324,0.766195595419248
40006#C500,CAT-MUL,334893/75(334968),0.124605866395973,-0.103020563502185,0.355565288695832,0.287043682590874
40006#C61,CAT-MUL,329097/5871(334968),0.00689686237628905,-0.0194880616453353,0.0333280779952545,0.608729542665263
40006#C508,CAT-MUL,334329/639(334968),0.021002599811109,-0.0568370014081581,0.099269638831927,0.597945262785385
40006#C509,CAT-MUL,330535/4433(334968),0.0110874939912218,-0.0188190403152093,0.0410555445617163,0.467909059192361
40006#C442,CAT-MUL,334472/496(334968),0.00599866164941964,-0.0820108962391024,0.094578311112273,0.89406739844912
40006#C444,CAT-MUL,334071/897(334968),0.0110400867778998,-0.0545490880016623,0.0769409398294296,0.742067208639823
40006#C503,CAT-MUL,334582/386(334968),-0.0105980273029424,-0.110104534424614,0.0896505134603774,0.835267842874098
40006#C443,CAT-MUL,330536/4432(334968),0.0175824628175029,-0.0121952975733862,0.0474226667508556,0.247658420859701
40006#C541,CAT-MUL,333893/1075(334968),0.0411268476128981,-0.0191195744185429,0.101623263222046,0.181824718187031
40006#C679,CAT-MUL,334284/684(334968),-0.031108820499031,-0.105631043894812,0.0438463279931797,0.414639070384559
40006#C160,CAT-MUL,334823/145(334968),0.093120283917369,-0.0701337951485345,0.258167634100714,0.266286734831995
40006#C851,CAT-MUL,334901/67(334968),0.2106499807128,-0.031691639101824,0.456505185464113,0.0909086136814151
40006#C64,CAT-MUL,334146/822(334968),0.0519188393463839,-0.0167351561436401,0.120904688072852,0.139254759018228
40006#C20,CAT-MUL,333888/1080(334968),0.0903957953300148,0.0301694007054089,0.150863527449759,0.0033267991161548
40006#D046,CAT-MUL,334817/151(334968),0.0242360140245307,-0.134860400007054,0.185186795368765,0.76664770178461
40006#D069,CAT-MUL,332720/2248(334968),0.0112345423397829,-0.0305961637467713,0.0531861866163854,0.599145532033614
40006#C187,CAT-MUL,334079/889(334968),-0.00386817969997947,-0.0695308840290592,0.0621172866498916,0.908306389398302
40006#C447,CAT-MUL,334177/791(334968),0.0320473488752205,-0.037954018513844,0.102392516285565,0.370733098595069
40006#C900,CAT-MUL,334608/360(334968),0.0204513049967229,-0.0827340809222436,0.124422118782507,0.698793742190864
40006#C435,CAT-MUL,334264/704(334968),0.0429439428394374,-0.031125897043736,0.117407198355753,0.257097309210007
40006#C183,CAT-MUL,334859/109(334968),-0.0120378179701118,-0.198172824894369,0.176793242128298,0.899892964032985
40006#D090,CAT-MUL,334515/453(334968),-0.0435470664927686,-0.134980936011779,0.0485445987896508,0.352338112633061
40006#C440,CAT-MUL,334738/230(334968),-0.00204790675527217,-0.13098223017984,0.128098661370976,0.975285845897723
40006#C162,CAT-MUL,334945/23(334968),-0.0798847825947921,-0.477144899149718,0.331617064617385,0.699225780412502
