varName,varType,n,beta,lower,upper,pvalue
1418-2,CAT-SIN,218496/334808,-999,-999,-999,0.646002128423133
1418-2#6,CAT-SIN,218496#10423,-0.0112232583570901,-0.0308744542368671,0.00842793752268694,0.262977483963609
1418-2#1,CAT-SIN,218496#20770,-0.00522549831141261,-0.0194847616257392,0.009033765002914,0.472600014073282
1418-2#3,CAT-SIN,218496#69166,-0.00544510814043192,-0.0140495448720312,0.00315932859116732,0.214858738729891
1418-2#5,CAT-SIN,218496#3801,0.000269345113024121,-0.0318110617592744,0.0323497519853226,0.986870814491399
1418-2#4,CAT-SIN,218496#12152,0.00503958512054051,-0.0133004379969622,0.0233796082380432,0.590182874317886
1428-3,CAT-SIN,178143/334324,-999,-999,-999,0.139745591193035
1428-3#0,CAT-SIN,178143#33824,-0.0138547703924038,-0.0255243368565053,-0.00218520392830239,0.0199663150904956
1428-3#1,CAT-SIN,178143#120625,-0.00237021021864965,-0.00971019875447753,0.00496977831717823,0.526794684182006
1428-3#2,CAT-SIN,178143#1732,0.00410237906290273,-0.0432083359733534,0.0514130940991589,0.86504847474154
1448-3,CAT-SIN,187292/323421,-999,-999,-999,0.340177432158837
1448-3#1,CAT-SIN,187292#85025,-0.00229457232551928,-0.010497167430437,0.00590802277939846,0.583502983025257
1448-3#2,CAT-SIN,187292#38060,-1.94221714337442e-05,-0.0110799596926111,0.0110411153497436,0.997253947443262
1448-3#4,CAT-SIN,187292#13044,0.0147017774880302,-0.00309660731635351,0.032500162292414,0.105454886660119
1468-3,CAT-SIN,70455/279553,-999,-999,-999,0.434183797602122
1468-3#1,CAT-SIN,70455#47526,0.00383941872979035,-0.00782969421090831,0.015508531670489,0.519008014818276
1468-3#4,CAT-SIN,70455#57151,-0.0050212664194416,-0.0160983502700133,0.00605581743113005,0.374295526989665
1468-3#2,CAT-SIN,70455#50122,0.00602371834946842,-0.00549055670860788,0.0175379934075447,0.305193602716808
1468-3#5,CAT-SIN,70455#54299,0.000254986105779854,-0.0110582557400897,0.0115682279516494,0.964764830415386
1508-2,CAT-SIN,148092/264017,-999,-999,-999,0.351460359913086
1508-2#3,CAT-SIN,148092#59133,0.000364260113397069,-0.00917829235711418,0.00990681258390832,0.940361019817658
1508-2#1,CAT-SIN,148092#52353,0.00614086200847934,-0.00388265434789609,0.0161643783648548,0.229843117200526
1508-2#4,CAT-SIN,148092#4439,0.0216705862544795,-0.00824652897125302,0.0515877014802121,0.155692700734065
1538-0,CAT-SIN,205929/334332,-999,-999,-999,0.954035857192128
1538-0#1,CAT-SIN,205929#35127,-0.00165968041520191,-0.0129989497021726,0.00967958887176874,0.774210669494284
1538-0#2,CAT-SIN,205929#93276,-0.000660487574818283,-0.00841796502040163,0.00709698987076506,0.867468119372989
