varName,varType,n,beta,lower,upper,pvalue
20246-0,CAT-SIN,27302/31279,-999,-999,-999,0.225091012525708
20246-0#1,CAT-SIN,27302#1190,0.00560726079634763,-0.0529389676869626,0.0641534892796579,0.851099750530929
20246-0#3,CAT-SIN,27302#1952,0.0362121392646623,-0.00970012849056773,0.0821244070198924,0.122135486203036
20246-0#2,CAT-SIN,27302#835,0.051854826248355,-0.016350644778747,0.120060297275457,0.13619555638609
20405-0,CAT-SIN,37022/40545,-999,-999,-999,0.0596969527682652
20405-0#1,CAT-SIN,37022#1843,0.0369852586014094,-0.0101831618531436,0.0841536790559624,0.124335302100563
20405-0#2,CAT-SIN,37022#1680,-0.0444701200877599,-0.0953824917957832,0.0064422516202635,0.0869044387630851
20411-0,CAT-SIN,39254/40579,-999,-999,-999,0.488765460313158
20411-0#1,CAT-SIN,39254#1169,-0.0153105676270831,-0.074938371990852,0.0443172367366858,0.614782990794592
20411-0#2,CAT-SIN,39254#156,-0.0912710396760964,-0.25741054418743,0.0748684648352376,0.281599394363167
