25842_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25880_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25881_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25882_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25883_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25884_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25885_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25886_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25887_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25888_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25889_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25890_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25891_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25892_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25893_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25894_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25895_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25896_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25897_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25898_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25899_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25900_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25901_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25902_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25903_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25904_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25905_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25906_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25907_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25908_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
