varName,varType,n,beta,lower,upper,pvalue
100920-2102,CAT-SIN,9511/15419,-999,-999,-999,0.124828209348724
100920-2102#2103,CAT-SIN,9511#3262,0.00484734387905286,-0.0354582172180511,0.0451529049761568,0.813653943311692
100920-2102#0,CAT-SIN,9511#710,0.00359936296528415,-0.0734116452219701,0.0806103711525384,0.927011585986241
100920-2102#2106,CAT-SIN,9511#208,0.159585421513076,0.0293852794997047,0.289785563526447,0.0162916986160528
100920-2102#2104,CAT-SIN,9511#839,-0.0740828396942752,-0.147747793172974,-0.000417886215576591,0.0487144447159837
100920-2102#2105,CAT-SIN,9511#512,-0.00604520634043894,-0.0962998165661685,0.0842094038852907,0.895555903091724
100920-2102#222,CAT-SIN,9511#27,-0.10787220241136,-0.509170443986188,0.293426039163469,0.598294897090119
100920-2102#2107,CAT-SIN,9511#91,-0.0973236772451008,-0.314528595609318,0.119881241119116,0.379831337721524
100920-2102#2199,CAT-SIN,9511#72,-0.100980792908201,-0.344971142900035,0.143009557083633,0.417265544843577
100920-2102#2108,CAT-SIN,9511#87,-0.052464609921653,-0.270204112286526,0.16527489244322,0.636744205286
100920-2102#2109,CAT-SIN,9511#69,-0.101468872627423,-0.351546502827476,0.14860875757263,0.426465532810054
100920-2102#2110,CAT-SIN,9511#31,0.325248008188451,0.0111729598697695,0.639323056507132,0.0423882552122306
