varName,varType,n,beta,lower,upper,pvalue
20183-2#1,CAT-SIN,13022#569,0.0272272627051744,-0.0580026160409882,0.112457141451337,0.531233752278348
20183-2#5,CAT-SIN,13022#450,-0.00889225283393704,-0.105943229084491,0.0881587234166169,0.857481651979951
20185-5,CAT-SIN,5417/7227,-999,-999,-999,0.661170553122835
20185-5#2,CAT-SIN,5417#1519,0.0367059514304657,-0.0210727428338355,0.0944846456947668,0.213081695891453
20185-5#4,CAT-SIN,5417#195,0.0188180088036386,-0.12660730529027,0.164243322897547,0.799789933695486
20185-5#1,CAT-SIN,5417#96,0.0269547570994877,-0.176991870826551,0.230901385025527,0.795604307498791
20187-5,CAT-SIN,1973/4638,-999,-999,-999,0.623718426283219
20187-5#2,CAT-SIN,1973#777,0.0167277580567297,-0.0675059320430139,0.100961448156473,0.697110191694588
20187-5#1,CAT-SIN,1973#1076,-0.0184274781711291,-0.094416023720356,0.0575610673780977,0.634574679906011
20187-5#4,CAT-SIN,1973#381,-0.0790896200449574,-0.194159212373237,0.0359799722833217,0.177940866834873
20187-5#3,CAT-SIN,1973#431,0.0108304333490961,-0.0940813535744086,0.115742220272601,0.839655339763683
20189-5,CAT-SIN,316/1025,-999,-999,-999,0.762713639409045
20189-5#3,CAT-SIN,316#135,0.0346004236890365,-0.183542629490932,0.252743476869005,0.755894386786032
20189-5#2,CAT-SIN,316#259,0.0638953400256031,-0.111354464646186,0.239145144697392,0.474859578359419
20189-5#1,CAT-SIN,316#215,-0.0445478683561248,-0.233498068646044,0.144402331933795,0.644015947989393
20189-5#4,CAT-SIN,316#100,0.098165066731018,-0.143662085965767,0.339992219427803,0.426259006362269
