name,countValue
binary.500,6
catMul.binary,2
catSin.case2,1
catSin.case3,13
catSin.onevalue,5
cont.main,24
cont.main.500,3
cont.ordcattry,1
cont.ordcattry.ordcat,1
excluded.int,1
int.continuous,14
int.onevalue,2
ordCat,1
start.catMul,2
start.catSin,21
start.cont,11
start.int,16
success.binary,7
success.continuous,21
success.ordCat,1
success.unordCat,1
