varName,varType,n,beta,lower,upper,pvalue
6152#100,CAT-MUL,107438/227134(334572),-5.54994147474089e-06,-0.00728606810724245,0.00728039245379505,0.99880833541106
6152#8,CAT-MUL,296237/38335(334572),-0.0144314799778058,-0.0251525487089633,-0.00373635024048746,0.00825160181975153
6152#9,CAT-MUL,257051/77521(334572),0.00769712140366407,-0.000382192580814163,0.0157668096502683,0.0617106787255077
6152#7,CAT-MUL,331804/2768(334572),-0.0289369978419231,-0.0670844777850306,0.00879623232958471,0.134932217631891
6152#5,CAT-MUL,327704/6868(334572),-0.0248966863088593,-0.0492100851494533,-0.000747499243204012,0.0440275812342786
6152#6,CAT-MUL,329178/5394(334572),-0.0531169554795154,-0.0808333827565858,-0.0256180461082282,0.000162540840184584
6153#1,CAT-MUL,156875/22482(179357),0.148475409651107,0.134448531379864,0.162476776218409,8.75036187105409e-96
6153#100,CAT-MUL,55665/123692(179357),-0.0488670280212123,-0.059002149582272,-0.0387239578977315,3.5057963801224e-21
6153#4,CAT-MUL,165947/13410(179357),0.00812770214514512,-0.00946620099774737,0.0256464578844865,0.364206603590545
6153#2,CAT-MUL,148179/31178(179357),0.0116561903857767,-0.00100205134617882,0.0242889396583552,0.070817576508592
6153#5,CAT-MUL,174647/4710(179357),0.0270950119895719,-0.00253871042373668,0.0565256047500002,0.0721310218305533
6153#3,CAT-MUL,177983/1374(179357),0.00196036049503635,-0.0515509539045523,0.054671342172639,0.942316329874578
6154#100,CAT-MUL,147295/184077(331372),-0.00542312839951284,-0.0123002946055919,0.00145539616936073,0.122244277723244
6154#1,CAT-MUL,285050/46322(331372),0.0318061487295074,0.0217371908674078,0.0418577358714521,5.76990484922388e-10
6154#3,CAT-MUL,259143/72229(331372),-0.00749553158972524,-0.0158329984898899,0.000830749539858243,0.0778611230842562
6154#2,CAT-MUL,282208/49164(331372),-0.0149594507116687,-0.0247017938209902,-0.00523600874038914,0.00259051000449495
6154#5,CAT-MUL,311444/19928(331372),-0.00788629224877295,-0.0223789679843544,0.00655371930607691,0.285304351656852
6154#4,CAT-MUL,325090/6282(331372),-0.00367934177244921,-0.028809752768006,0.0212764575637511,0.773373324949699
6154#6,CAT-MUL,321900/9472(331372),0.0255225658962392,0.00510691590990328,0.0458290889400154,0.0140160723622626
6155#100,CAT-MUL,103696/229679(333375),-0.00501024750656513,-0.0123765453059349,0.00236174051139266,0.182670954372456
6155#7,CAT-MUL,261986/71389(333375),0.000462904405669753,-0.00784418282079537,0.00875872657139421,0.912971126444087
6155#3,CAT-MUL,304993/28382(333375),-0.00128023994621457,-0.0134805762502949,0.0108844527070117,0.836813739734059
6155#1,CAT-MUL,327260/6115(333375),-0.0106281383584495,-0.0361650417357869,0.0147274238190969,0.412992799918821
6155#2,CAT-MUL,319943/13432(333375),0.00679255967224474,-0.0105048067681904,0.0240114901261128,0.440455903100133
6155#6,CAT-MUL,326575/6800(333375),0.0080642439013812,-0.0160097892251273,0.0319798224795911,0.510072555026871
6155#4,CAT-MUL,320868/12507(333375),-0.00302356160496594,-0.0210618852054989,0.0149292074919475,0.741917470755241
6155#5,CAT-MUL,323933/9442(333375),0.00964406647611783,-0.0108490216267272,0.030024228121775,0.354996562512652
