varName,varType,n,beta,lower,upper,pvalue
42001-1,CAT-SIN,8135/11872,-999,-999,-999,0.85081332018485
42001-1#0,CAT-SIN,8135#3439,0.00748104547709036,-0.0315827443164698,0.0465448352706505,0.707400447817163
42001-1#2,CAT-SIN,8135#298,-0.022393109087683,-0.136245324651221,0.0914591064758547,0.699869230206911
42007-1,CAT-SIN,4168/7658,-999,-999,-999,0.665704452042745
42007-1#0,CAT-SIN,4168#3352,0.0203709115126473,-0.0250180393245195,0.065759862349814,0.379050587604674
42007-1#2,CAT-SIN,4168#138,0.026507178982157,-0.14254248279675,0.195556840761064,0.758596329007143
42011-1,CAT-SIN,552/693,-999,-999,-999,0.358603450473018
42011-1#0,CAT-SIN,552#88,-0.0258185422351238,-0.252794297701158,0.201157213230911,0.823577273355268
42011-1#2,CAT-SIN,552#53,0.187709272034232,-0.0743540556465909,0.449772599715055,0.160356917961062
42013-1,CAT-SIN,656/857,-999,-999,-999,0.706101030425206
42013-1#0,CAT-SIN,656#170,0.0754090534774771,-0.101106262328801,0.251924369283755,0.402415188439578
42013-1#2,CAT-SIN,656#31,0.0208202046834353,-0.357410424695802,0.399050834062673,0.914083896106469
90002-1,CAT-SIN,3059/3386,-999,-999,-999,0.438135917649187
90002-1#2,CAT-SIN,3059#197,-0.025305678728537,-0.173625114184682,0.123013756727608,0.738076723558585
90002-1#3,CAT-SIN,3059#130,0.108218515128032,-0.0633793306241805,0.279816360880244,0.216438083708755
