varName,varType,n,beta,lower,upper,pvalue
103010,CAT-SIN,15806,-0.0371621959452431,-0.0997623154748255,0.0254379235843392,0.244627020406046
103020,CAT-SIN,15809,-0.0285946794641199,-0.0698639230181499,0.0126745640899101,0.174468177830937
103030,CAT-SIN,15804,-0.07127286289159,-0.133370012566985,-0.0091757132161945,0.0244869784626407
103040,CAT-SIN,15804,-0.00768058131084723,-0.0740520764783911,0.0586909138566967,0.820571839963728
103050,CAT-SIN,15805,-0.0220261046706783,-0.111464612717869,0.0674124033765126,0.629321828556998
103060,CAT-SIN,15808,0.0329035326147485,-0.00527893191871477,0.0710859971482118,0.0912354518856722
103070,CAT-SIN,15806,0.0161641508421252,-0.0402512623374489,0.0725795640216993,0.574410568886667
103080,CAT-SIN,15813,-0.0193164891663963,-0.0663144005143068,0.0276814221815143,0.420500363517812
103090,CAT-SIN,15811,0.0348901946509563,-0.0741436822650608,0.143924071566973,0.530544819566561
103100,CAT-SIN,15813,-0.103649264517976,-0.226435005471626,0.019136476435674,0.0980399602972316
