varName,varType,n,beta,lower,upper,pvalue
100920-2102,CAT-SIN,9538/15813,-999,-999,-999,0.566424207275945
100920-2102#2103,CAT-SIN,9538#3629,-0.0199474857149255,-0.0590927087285449,0.0191977372986939,0.317915044087594
100920-2102#2109,CAT-SIN,9538#82,0.123263311055922,-0.0861602164982803,0.332686838610124,0.24866288830125
100920-2102#2104,CAT-SIN,9538#865,-0.00962484022205426,-0.0806780457573889,0.0614283653132804,0.790627408914379
100920-2102#2199,CAT-SIN,9538#76,0.111625908449761,-0.106540101388111,0.329791918287634,0.315944349912766
100920-2102#2107,CAT-SIN,9538#107,-0.0794986930595349,-0.279047495750486,0.120050109631417,0.434899882291417
100920-2102#0,CAT-SIN,9538#667,0.00161302056242001,-0.0777826233960422,0.0810086645208822,0.968237357521959
100920-2102#2106,CAT-SIN,9538#199,-0.0776821193587784,-0.225069575694555,0.0697053369769977,0.301594647031789
100920-2102#2105,CAT-SIN,9538#486,-0.00101855778964523,-0.0934806259500895,0.091443510370799,0.982774315741139
100920-2102#2108,CAT-SIN,9538#80,0.042449212811525,-0.17668094964608,0.26157937526913,0.704184363221464
100920-2102#222,CAT-SIN,9538#31,-0.161810998016979,-0.546549287985568,0.222927291951611,0.409763277663791
100920-2102#2110,CAT-SIN,9538#53,0.245107893782457,-0.00248284453144051,0.492698632096355,0.0523420961275718
